"Чек лист smoke-тестирования плеера, используемого на сайте https://www.youtube.com",,,,
№,Проверки (Действия),Статус прохождения,Ссылка на дефект,Комментарий
Основные функции плеера,,,,
1,Запуск и пауза видео,,,
,Видео автоматически запускается при нажатии на кнопку воспроизведения.,,,
,Видео останавливается при нажатии на кнопку паузы.,,,
,Видео продолжает воспроизведение с места остановки при повторном нажатии кнопки воспроизведения.,,,
2,Регулировка громкости,,,
,Громкость увеличивается при использовании ползунка громкости.,,,
,Громкость уменьшается при использовании ползунка громкости.,,,
,Кнопка отключения звука работает корректно (звук отключается и включается).,,,
3,Полноэкранный режим,,,
,Плеер переходит в полноэкранный режим при нажатии на соответствующую кнопку.,,,
,Плеер возвращается в обычный режим при повторном нажатии на кнопку полноэкранного режима.,,,
4,Перемотка видео,,,
,Видео перематывается вперед при перетаскивании ползунка на временной шкале вправо.,,,
,Видео перематывается назад при перетаскивании ползунка на временной шкале влево.,,,
5,Настройки качества видео,,,
,Меню выбора качества видео отображается при нажатии на иконку настроек.,,,
,Качество видео изменяется при выборе другого параметра в меню.,,,
6,Загрузка и буферизация,,,
,Видео загружается и начинает воспроизведение без значительных задержек.,,,
,Буферизация видео не вызывает частых прерываний во время воспроизведения.,,,